,Epoch,Loss
0,10,0.6164097785949707
1,11,0.7881014943122864
2,12,0.7711312770843506
3,13,0.6600919365882874
4,14,0.7819994688034058
5,15,0.5811097621917725
6,16,0.722412109375
7,17,0.5613309741020203
8,18,0.6679270267486572
9,19,0.651782214641571
10,1,0.6627424359321594
11,20,0.7148711085319519
12,21,0.6339371204376221
13,22,0.680054247379303
14,23,0.7449563145637512
15,24,0.6359360218048096
16,25,0.7313394546508789
17,26,0.7849513292312622
18,27,0.6749100685119629
19,28,0.7154183983802795
20,29,0.8114602565765381
21,2,0.7143715023994446
22,30,0.8442107439041138
23,31,0.6881421208381653
24,32,0.7609638571739197
25,33,0.802666962146759
26,34,0.681623637676239
27,3,0.7289872765541077
28,4,0.6580179333686829
29,5,0.6775028109550476
30,6,0.7623576521873474
31,7,0.7456352710723877
32,8,0.7892746925354004
33,9,0.6897014379501343
