,Epoch,Loss
0,10,0.03649245202541351
1,11,0.09834042936563492
2,12,1.6879435777664185
3,13,0.6418249011039734
4,14,0.006810309831053019
5,15,0.0032933102920651436
6,16,0.004962336737662554
7,17,0.0012051532976329327
8,18,0.0018596902955323458
9,19,0.002326356712728739
10,1,0.6514062881469727
11,20,0.002243166556581855
12,21,0.0019207987934350967
13,22,0.0022812807001173496
14,23,0.0009198751067742705
15,24,0.009884076192975044
16,25,0.003103216178715229
17,26,0.0008915230864658952
18,27,0.0006161024793982506
19,28,0.007180487271398306
20,29,0.0005673171253874898
21,2,0.2032988965511322
22,30,0.0005684092175215483
23,31,0.00029108329908922315
24,32,0.00012366799637675285
25,33,0.00010284392919857055
26,34,2.0332057829364203e-05
27,35,2.8180642402730882e-05
28,36,0.00031641876557841897
29,37,0.004007244482636452
30,38,0.00029972445918247104
31,39,0.0006979890167713165
32,3,0.013585416600108147
33,40,0.00014087515592109412
34,41,0.00012239321949891746
35,42,5.8429450291441754e-05
36,43,0.0001609899481991306
37,44,2.4229420887422748e-05
38,45,0.00021090426889713854
39,46,0.00019653650815598667
40,47,0.00013314324314706028
41,48,0.0002653076371643692
42,49,0.0010764995822682977
43,4,0.03254500776529312
44,50,0.000525382871273905
45,51,6.658129132119939e-05
46,52,5.8140441979048774e-05
47,53,0.0006793994107283652
48,54,0.00011140915012219921
49,55,0.0027848135214298964
50,56,2.4141856556525454e-05
51,57,5.1716389862122014e-05
52,58,0.00010600194946164265
53,59,5.7560460845706984e-05
54,5,0.004384735133498907
55,60,0.0003186922986060381
56,61,0.0016587699064984918
57,62,3.452286182437092e-05
58,63,0.0005192632088437676
59,64,0.0005591618246398866
60,65,0.0004355038981884718
61,66,6.29721544100903e-05
62,67,1.8679496861295775e-05
63,68,0.00017744424985721707
64,69,8.58370476635173e-05
65,6,0.012067162431776524
66,70,7.84504518378526e-05
67,71,0.00021981204918120056
68,72,6.752200079063186e-06
69,73,0.0001179839891847223
70,74,0.001129290321841836
71,75,4.383092891657725e-05
72,76,0.0004907362745143473
73,77,8.341624197782949e-05
74,7,0.013776516541838646
75,8,0.0060859606601297855
76,9,0.004869963973760605
